,EmpID,Designation,City,DOB,Gender,YearOfAppraisal,Rating,Salary,WorkLifeBalance,CurrentLocation,PreferredLocation,Appraisal,Recommend,Opportunities,CurrentRole,DesiredRole,Infrastructure,Employer,Employee
0,268,Programmer Trainee,Hyderabad,54:33.9,M,2016,1,4,5,1,,1,1,1,1,,1,Enhance,Enhance
1,287,Programmer,Pune,53:38.3,M,2016,3,4,3,1,,0,1,1,1,,2,Enhance,Enhance
2,328,Programmer Trainee,Hyderabad,45:22.5,M,2016,3,3,2,0,Hyderabad,0,1,1,1,,3,Enhance,Sustain
3,407,Associate,Noida,54:16.7,M,2016,2,5,2,1,,1,1,1,1,,1,Enhance,Enhance
4,444,Senior Associate,Hyderabad,55:03.2,F,2016,3,4,2,1,,0,1,1,1,,3,Enhance,Enhance
5,478,Associate,Hyderabad,53:38.9,M,2016,3,4,1,1,,0,1,1,1,,3,Enhance,Enhance
6,489,Programmer Trainee,Hyderabad,55:02.0,M,2016,2,4,2,1,,1,1,1,1,,1,Enhance,Enhance
7,522,Manager,Hyderabad,55:03.4,M,2016,3,4,1,1,,0,1,1,1,,1,Enhance,Enhance
8,528,Senior Associate,Pune,55:03.7,M,2016,1,5,4,1,,1,1,1,1,,2,Enhance,Enhance
9,556,Manager,Chennai,54:49.2,M,2016,2,4,1,1,,1,1,1,1,,1,Enhance,Enhance
10,695,Manager,Bangalore,45:37.0,M,2016,5,3,3,0,Chennai,1,1,1,0,Architect,4,Sustain,Enhance
11,744,Senior Associate,Chennai,54:16.9,M,2016,1,2,4,1,,1,1,1,1,,2,Enhance,Enhance
12,768,Senior Manager,Hyderabad,55:03.6,F,2016,2,5,3,1,,1,1,1,1,,4,Enhance,Enhance
13,912,Senior Manager,Bangalore,45:36.7,M,2016,3,3,1,0,Pune,0,1,1,1,,4,Enhance,Sustain
14,941,Associate,Noida,54:34.1,F,2016,3,4,4,1,,1,1,1,1,,4,Enhance,Enhance
15,1064,Associate,Chennai,44:49.4,M,2016,1,3,3,0,Hyderabad,1,1,1,1,,4,Enhance,Sustain
16,1108,Associate,Hyderabad,54:16.8,M,2016,3,3,5,1,,1,1,1,1,,4,Enhance,Enhance
17,1176,Senior Manager,Chennai,44:49.5,M,2016,1,1,2,0,Noida,1,0,0,1,,3,Sustain,Sustain
18,1369,Associate,Noida,54:47.6,F,2016,3,4,5,1,,0,1,1,1,,4,Enhance,Enhance
19,1483,Manager,Bangalore,54:18.5,F,2016,3,4,4,1,,0,1,1,1,,3,Enhance,Enhance
20,1554,Senior Associate,Kolkata,54:47.7,M,2016,3,5,4,1,,0,1,1,1,,3,Enhance,Enhance
21,1574,Senior Associate,Chennai,55:02.4,M,2016,3,4,4,1,,0,1,1,1,,2,Enhance,Enhance
22,1622,Manager,Hyderabad,54:50.5,M,2016,2,4,2,1,,1,1,1,1,,3,Enhance,Enhance
23,1697,Senior Associate,Kolkata,53:38.7,F,2016,3,4,3,1,,1,1,1,1,,2,Enhance,Enhance
24,1822,Manager,Chennai,53:39.1,F,2016,1,5,4,1,,1,1,1,1,,4,Enhance,Enhance
25,1912,Associate,Pune,45:33.2,M,2016,5,3,1,0,Hyderabad,1,1,1,0,Developer,2,Sustain,Enhance
26,1920,Senior Associate,Hyderabad,55:01.6,M,2016,3,4,3,1,,0,1,1,1,,2,Enhance,Enhance
27,1978,Senior Associate,Chennai,45:33.1,M,2016,1,2,3,0,Kolkata,1,0,1,1,,1,Sustain,Sustain
28,2001,Associate,Bangalore,53:37.8,M,2016,3,5,3,1,,1,1,1,1,,3,Enhance,Enhance
29,2094,Senior Associate,Chennai,54:49.9,M,2016,2,1,5,1,,1,1,1,1,,2,Enhance,Enhance
