,EmpID,Designation,City,DOB,Gender,YearOfAppraisal,Rating,Salary,WorkLifeBalance,CurrentLocation,PreferredLocation,Appraisal,Recommend,Opportunities,CurrentRole,DesiredRole,Infrastructure
0,268,Programmer Trainee,Hyderabad,54:33.9,M,2017,3,4,5,1,,1,1,1,1,,1
1,282,Programmer Trainee,Kolkata,53:37.8,M,2017,2,3,5,0,Hyderabad,1,1,1,1,,3
2,287,Programmer,Pune,53:38.3,M,2017,4,4,3,1,,0,1,1,1,,2
3,407,Associate,Noida,54:16.7,M,2017,4,5,2,1,,1,1,1,1,,1
4,444,Senior Associate,Hyderabad,55:03.2,F,2017,3,4,2,1,,0,1,1,1,,3
5,478,Associate,Hyderabad,53:38.9,M,2017,3,4,1,1,,0,1,1,1,,3
6,489,Programmer Trainee,Hyderabad,55:02.0,M,2017,3,4,2,1,,1,1,1,1,,1
7,512,Senior Manager,Bangalore,55:03.6,M,2017,3,3,1,0,Noida,0,1,1,1,,2
8,522,Manager,Hyderabad,55:03.4,M,2017,4,4,1,1,,0,1,1,1,,1
9,528,Senior Associate,Pune,55:03.7,M,2017,3,5,4,1,,1,1,1,1,,2
10,556,Manager,Chennai,54:49.2,M,2017,3,4,1,1,,1,1,1,1,,1
11,570,Manager,Chennai,30:26.4,M,2017,5,5,3,0,Noida,1,1,1,0,Consultant,2
12,744,Senior Associate,Chennai,54:16.9,M,2017,2,2,4,1,,1,1,1,1,,2
13,768,Senior Manager,Hyderabad,55:03.6,F,2017,3,5,3,1,,1,1,1,1,,4
14,941,Associate,Noida,54:34.1,F,2017,2,4,4,1,,1,1,1,1,,4
15,1108,Associate,Hyderabad,54:16.8,M,2017,2,3,5,1,,1,1,1,1,,4
16,1180,Associate,Pune,55:03.2,M,2017,4,2,2,0,Hyderabad,0,0,1,0,Architect,4
17,1218,Associate,Bangalore,54:33.6,F,2017,3,4,4,0,Hyderabad,0,1,1,1,,2
18,1369,Associate,Noida,54:47.6,F,2017,3,4,5,1,,0,1,1,1,,4
19,1412,Associate,Pune,55:03.6,M,2017,3,3,2,0,Hyderabad,0,1,1,1,,1
20,1483,Manager,Bangalore,54:18.5,F,2017,4,4,4,1,,0,1,1,1,,3
21,1554,Senior Associate,Kolkata,54:47.7,M,2017,3,5,4,1,,0,1,1,1,,3
22,1574,Senior Associate,Chennai,55:02.4,M,2017,3,4,4,1,,0,1,1,1,,2
23,1622,Manager,Hyderabad,54:50.5,M,2017,3,4,2,1,,1,1,1,1,,3
24,1697,Senior Associate,Kolkata,53:38.7,F,2017,2,4,3,1,,1,1,1,1,,2
25,1822,Manager,Chennai,53:39.1,F,2017,3,5,4,1,,1,1,1,1,,4
26,1861,Programmer Trainee,Chennai,54:18.1,M,2017,2,3,3,0,Bangalore,1,1,1,1,,4
27,1920,Senior Associate,Hyderabad,55:01.6,M,2017,3,4,3,1,,0,1,1,1,,2
28,1941,Programmer,Bangalore,54:49.5,F,2017,3,4,2,0,Noida,0,1,1,1,,1
29,2001,Associate,Bangalore,53:37.8,M,2017,1,5,3,1,,1,1,1,1,,3
30,2075,Associate,Hyderabad,55:02.1,M,2017,3,4,4,0,Hyderabad,0,1,1,1,,1
31,2094,Senior Associate,Chennai,54:49.9,M,2017,3,1,5,1,,1,1,1,1,,2
32,2101,Programmer Trainee,Bangalore,55:02.6,M,2017,4,4,3,1,,0,1,1,1,,1
33,2289,Associate,Kolkata,55:04.0,M,2017,3,3,4,1,,0,1,1,1,,3
34,2356,Senior Associate,Bangalore,54:47.3,F,2017,2,4,4,1,,1,1,1,1,,4
35,2372,Associate,Chennai,55:03.1,M,2017,3,4,1,1,,1,1,1,1,,3
36,2454,Associate,Bangalore,54:33.7,F,2017,3,4,1,1,,0,1,1,1,,1
37,2459,Associate,Noida,54:16.8,F,2017,3,4,4,1,,1,1,1,1,,2
38,2522,Senior Associate,Kolkata,54:18.1,F,2017,3,4,5,0,Chennai,0,1,1,1,,4
39,2527,Associate,Pune,53:38.4,F,2017,1,4,4,1,,1,1,1,1,,1
40,2649,Manager,Bangalore,54:34.2,M,2017,4,4,5,1,,1,1,1,1,,3
41,2652,Associate,Kolkata,54:50.3,M,2017,4,5,4,1,,1,1,1,1,,3
42,2835,Senior Associate,Bangalore,54:49.2,M,2017,1,5,3,1,,1,1,1,1,,4
43,2908,Programmer Trainee,Pune,54:33.8,M,2017,1,4,4,1,,1,1,1,1,,4
44,2967,Senior Associate,Hyderabad,54:18.3,F,2017,2,4,4,1,,1,1,1,1,,1
45,3090,Programmer Trainee,Hyderabad,54:17.8,F,2017,4,5,3,1,,1,1,1,1,,4
46,3099,Programmer Trainee,Hyderabad,55:02.9,M,2017,3,2,4,1,,0,0,1,1,,1
47,3137,Senior Associate,Kolkata,53:38.0,M,2017,3,5,3,1,,0,1,1,1,,3
48,3158,Programmer Trainee,Chennai,54:17.2,M,2017,3,1,5,1,,0,0,1,1,,2
49,3163,Senior Associate,Chennai,55:01.6,M,2017,3,5,4,1,,0,1,1,1,,4
50,3185,Senior Associate,Pune,55:01.9,M,2017,4,5,4,1,,1,1,1,1,,2
51,3191,Senior Associate,Noida,54:48.8,M,2017,1,4,4,1,,1,1,1,1,,2
52,3230,Associate,Chennai,54:16.9,M,2017,3,3,3,0,Bangalore,0,1,1,1,,4
53,3271,Programmer Trainee,Hyderabad,53:37.9,M,2017,2,4,5,1,,1,1,1,1,,1
54,3283,Associate,Pune,53:38.4,F,2017,3,5,5,0,Hyderabad,0,1,1,1,,4
55,3328,Manager,Bangalore,54:17.8,M,2017,3,4,4,1,,0,1,1,1,,3
56,3372,Manager,Bangalore,54:48.9,M,2017,4,4,4,1,,0,1,1,1,,3
57,3381,Senior Manager,Chennai,53:38.1,M,2017,3,4,3,1,,0,1,1,1,,1
58,3399,Senior Associate,Chennai,54:47.6,M,2017,3,4,5,1,,0,1,1,1,,2
59,3401,Associate,Chennai,54:47.3,M,2017,4,5,4,1,,1,1,1,1,,2
60,3438,Associate,Chennai,55:02.0,M,2017,3,3,5,1,,0,1,1,1,,1
61,3459,Programmer Trainee,Hyderabad,54:49.2,F,2017,4,4,2,1,,0,1,1,1,,4
62,3498,Programmer Trainee,Hyderabad,54:47.5,F,2017,2,3,2,0,Pune,1,1,1,1,,1
63,3547,Manager,Hyderabad,54:50.2,M,2017,3,5,3,1,,0,1,1,1,,3
64,3563,Associate,Hyderabad,54:16.8,F,2017,4,4,4,1,,1,1,1,1,,1
65,3688,Associate,Hyderabad,55:01.6,F,2017,4,4,4,1,,0,1,1,1,,2
66,3750,Senior Associate,Chennai,54:17.5,F,2017,4,3,4,1,,0,1,1,1,,4
67,3754,Senior Manager,Hyderabad,54:18.2,M,2017,3,5,4,1,,0,1,1,1,,2
68,3777,Programmer Trainee,Pune,53:38.6,F,2017,4,2,5,1,,0,0,1,1,,1
69,3869,Associate,Hyderabad,54:49.4,M,2017,3,4,2,0,Chennai,0,1,1,1,,2
70,3871,Senior Associate,Chennai,55:03.9,M,2017,4,1,4,1,,0,0,1,1,,2
71,3969,Associate,Hyderabad,55:03.7,F,2017,3,3,4,0,Hyderabad,0,1,1,1,,2
72,3973,Associate,Hyderabad,53:38.5,F,2017,4,4,4,1,,0,1,1,1,,2
